PAGE_NO,TOTAL_ANNOTATION,DEVICE_NAME,CREATED_DATE,PROCESS_STAGE,BROWSER_VERSION,BROWSER_NAME,CATEGORY_ERROR,YEAR,TIME_BIN,IS_WEEKEND,MONTH
3,2,Desktop,2025-02-20 15:44:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: A connection that was expected to be kept alive was closed by the server..,133.0.0.0,Chrome,DocEditor_connection_closed,2025,Afternoon,False,2
1,4,Desktop,2025-02-18 10:44:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,133.0.0.0,Chrome,DocEditor_ReceiveError,2025,Morning,False,2
1,2,Desktop,2025-02-26 11:03:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,132.0.0.0,Chrome,DocEditor_ConnectionTimeout,2025,Morning,False,2
2,2,Desktop,2025-03-12 11:37:00,Doc Editor : Passing Parameter,134.0.0.0,Edge,PassingParam,2025,Morning,False,3
1,2,Desktop,2024-11-08 15:23:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,123.0.0.0,Chrome,DocEditor_ReceiveError,2024,Afternoon,False,11
1,5,Desktop,2025-02-13 10:44:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: A connection that was expected to be kept alive was closed by the server..,133.0.0.0,Chrome,DocEditor_connection_closed,2025,Morning,False,2
1,2,Desktop,2024-01-10 18:22:00,Passing Parameter,120.0.0.0,Chrome,PassingParam,2024,Evening,False,1
1,6,Desktop,2025-02-06 15:23:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,132.0.0.0,Chrome,DocEditor_ReceiveError,2025,Afternoon,False,2
1,4,Desktop,2024-11-08 15:23:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,125.0.0.0,Chrome,DocEditor_ReceiveError,2024,Afternoon,False,11
3,3,Desktop,2024-11-15 09:36:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,130.0.0.0,Chrome,DocEditor_ReceiveError,2024,Morning,False,11
3,1,Desktop,2024-08-20 16:29:00,Doc Editor : Passing Parameter,127.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
3,1,Desktop,2024-08-20 16:28:00,Doc Editor : Passing Parameter,127.0.0.0,Chrome,PassingParam,2024,Afternoon,False,8
3,1,Desktop,2024-08-20 22:22:00,Doc Editor : Passing Parameter,127.0.0.0,Chrome,PassingParam,2024,night,False,8
3,1,Desktop,2024-08-20 17:06:00,Doc Editor : Passing Parameter,127.0.0.0,Chrome,PassingParam,2024,Evening,False,8
1,3,Desktop,2024-11-11 09:22:00,Doc Editor : Connection Issues during Save Processs - The underlying connection was closed: An unexpected error occurred on a receive..,132.0.0.0,Firefox,DocEditor_ReceiveError,2024,Morning,False,11
1,2,Desktop,2025-02-21 12:45:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Afternoon,False,2
1,2,Desktop,2025-03-06 11:42:00,Doc Editor : Passing Parameter,133.0.0.0,Chrome,PassingParam,2025,Morning,False,3
1,2,Desktop,2024-04-22 09:04:00,Passing Parameter,115.0.0.0,Firefox,PassingParam,2024,Morning,False,4
1,2,Desktop,2025-03-26 15:05:00,Doc Editor : Connection Issues during Save Processs - System.Web.Services.Protocols.SoapException: Server was unable to process request. ---> System.Data.Entity.Core.EntityException: The underlying provider failed on Open. ---> System.Data.SqlClient.SqlException: Connection Timeout Expired.  The tim,136.0.0.0,Firefox,DocEditor_ConnectionTimeout,2025,Afternoon,False,3
